title,description,r,g,b,
人工物質土,人工物質土,255,255,253,
硬盤型人工物質土,硬盤型人工物質土,255,255,252,
無機質人工物質土,無機質人工物質土,255,255,251,
有機質人工物質土,有機質人工物質土,255,255,250,
盛土造成土,盛土造成土,255,255,249,
台地盛土造成土,台地盛土造成土,255,255,248,
低地盛土造成土,低地盛土造成土,255,255,247,
泥炭土,湿生植物の遺体が、過湿のため分解を免れ厚く堆積した土壌。,0,0,1,
高位泥炭土,ミズゴケ類、ホロムイスゲ、ツルコケモモ、ミカズキグサ類、ホロムイソウを合わせた割合（面積）が最も多い泥炭物質からなる泥炭土。,2,0,0,
表層無機質高位泥炭土,表層に厚さ10cm以上の「無機質層」がある高位泥炭土。,2,2,0,
下層無機質高位泥炭土,土壌表面から75cm以内に積算して25cm以上の「無機質層」がある高位泥炭土。,2,4,0,
典型高位泥炭土,典型的な高位泥炭土。,2,6,0,
中間泥炭土,ヌマガヤ、ワタスゲ、ヤチヤナギ、アカエゾマツを合わせた割合（面積）が最も多い泥炭物質からなる泥炭土。,4,0,0,
表層無機質中間泥炭土,表層に厚さ10cm以上の「無機質層」がある中間泥炭土。,4,2,0,
下層無機質中間泥炭土,土壌表面から75cm以内に積算して25cm以上の「無機質層」がある中間泥炭土。,4,4,0,
繊維質中間泥炭土,土壌表面から50cmまでの「泥炭物質」のうち、「繊維質泥炭物質」の割合が最も多い中間泥炭土。,4,6,0,
典型中間泥炭土,典型的な中間泥炭土。,4,8,0,
低位泥炭土,高位泥炭物質、中間泥炭物質以外の泥炭物質からなる泥炭土。,6,0,0,
表層無機質低位泥炭土,表層に厚さ10cm以上の「無機質層」がある低位泥炭土。,6,2,0,
下層無機質低位泥炭土,土壌表面から75cm以内に積算して25cm以上の「無機質層」がある低位泥炭土。,6,4,0,
繊維質低位泥炭土,土壌表面から50cmまでの「泥炭物質」のうち、「繊維質泥炭物質」の割合が最も多い低位泥炭土。,6,6,0,
典型低位泥炭土,典型的な低位泥炭土。,6,8,0,
腐朽質泥炭土,土壌表面から50cmまでの「泥炭物質」からなる層のうち、「腐朽質泥炭物質」の割合が最も多い泥炭土。,8,0,0,
表層無機質腐朽質泥炭土,表層に厚さ10cm以上の「無機質層」がある腐朽質泥炭土。,8,2,0,
下層無機質腐朽質泥炭土,土壌表面から75cm以内に積算して25cm以上の「無機質層」がある腐朽質泥炭土。,8,4,0,
不明,不明,8,6,0,
典型腐朽質泥炭土,典型的な腐朽質泥炭土。,8,8,0,
ポドゾル,漂白した層と腐植または鉄・アルミニウムが集積した層の層序をもつ土壌。,76,0,115,
湿性ポドゾル,土壌表面から75cm以内に「地下水湿性特徴」を示す層または「グライ層」の上端が現れるポドゾル。,78,0,115,
岩盤質湿性ポドゾル,土壌表面から60cm以内に岩盤が現れる湿性ポドゾル。,78,2,115,
